CDG;BUD;736;2:15;8:50;11:5
CDG;DFW;763;11:5;11:40;15:45
CDG;HEL;320;2:55;15:25;19:20
CDG;HKG;343;12:5;17:45;12:50
CDG;JFK;763;8:40;11:15;13:55
CDG;LHR;319;1:10;21:45;21:55
CDG;MIA;763;10:25;10:0;14:25
CDG;NGO;777;12:0;16:50;12:50
CDG;NRT;773;11:55;18:5;14:0
CDG;ORD;763;9:30;14:20;16:50
CEB;HKG;330;2:40;12:45;15:25
CFE;MAD;CR2;1:40;7:20;9:0
CFS;SYD;DH3;1:25;10:5;11:30
CGK;HKG;330;4:40;11:15;16:55
CGK;NRT;777;7:10;22:10;7:20
CGK;SYD;333;6:50;20:50;7:40
CHA;DFW;ERD;2:25;12:5;13:30
CHA;ORD;ER4;1:50;6:25;7:15
CHC;AKL;733;1:20;7:0;8:20
CHC;ROT;733;1:15;10:10;11:25
CHC;SYD;763;3:15;15:25;16:40
CHC;ZQN;733;0:50;7:40;8:30
CHS;DFW;ER4;3:10;11:25;13:35
CID;DFW;ER4;2:10;10:40;12:50
CID;LGA;ER3;2:25;13:50;17:15
CID;ORD;ER4;1:0;9:30;10:30
CID;STL;ER4;1:0;10:10;11:10
CIX;LIM;319;1:15;5:55;7:10
CJA;LIM;319;1:5;10:0;11:5
CJC;SCL;318;2:0;8:40;10:40
CKG;HKG;320;2:5;17:0;19:5
CLJ;BUD;S20;1:0;6:30;6:30
CLL;DFW;ER4;0:50;10:30;11:20
CLO;MIA;738;3:40;8:5;11:45
CLT;DFW;M80;3:0;7:15;9:15
CLT;MIA;ER4;2:5;6:10;8:15
CLT;ORD;ER4;2:15;12:25;13:40
CLT;SLC;M80;6:45;9:10;13:55
CLT;STL;ER4;1:55;18:15;19:10
CLT;YYC;M80;8:10;15:30;21:40
CMB;BKK;773;3:15;1:50;6:35
CMB;HKG;773;7:50;1:50;12:10
CMB;SIN;773;3:50;0:5;6:25
CMH;BOS;ER3;1:50;9:10;11:0
CMH;DEN;M80;5:55;13:45;17:40
CMH;DFW;ER4;3:5;9:40;11:45
CMH;LGA;ER3;1:35;5:40;7:15
CMH;MIA;ERD;2:45;7:40;10:25
CMH;ORD;CR7;1:20;11:10;11:30
CMH;PDX;M83;8:15;6:45;12:0
CMH;RDU;ERD;1:15;6:30;7:45
CMI;DFW;ER4;2:20;6:45;9:5
CMI;ORD;ER4;1:0;7:15;8:15
CMN;AGP;AT7;1:20;20:30;22:50
CMN;MAD;320;1:35;12:0;14:35
CMN;VLC;CR2;1:50;12:15;15:5
CNF;MIA;763;8:5;23:50;4:55
CNS;ASP;717;2:25;11:25;13:20
CNS;AYQ;717;2:45;6:40;8:55
CNS;BNE;73H;2:5;5:30;7:35
CNS;DRW;717;2:35;19:30;21:35
CNS;GOV;717;1:50;18:0;19:20
CNS;HID;DH3;2:0;7:50;9:50
CNS;HKG;332;7:5;13:0;18:5
CNS;HTI;DH3;1:25;7:55;9:20
CNS;MEL;73H;3:25;12:30;16:55
CNS;MKY;DH3;2:15;6:45;9:0
CNS;PER;73H;5:0;22:25;2:25
CNS;SYD;332;3:0;11:40;15:40
CNS;TSV;DH3;0:55;6:45;7:40
CNS;WEI;DH3;1:40;6:0;7:40
COR;AEP;320;1:12;7:15;8:27
COR;SCL;318;1:25;12:25;12:50
COS;DAY;M80;4:50;6:0;12:50
COS;DFW;M80;1:45;11:0;13:45
COS;IAD;M80;5:30;11:0;18:30
COS;MCI;M80;4:15;12:50;18:5
COS;MEM;M80;4:0;16:20;21:20
CPH;AGP;320;5:15;15:55;21:10
CPH;BUD;73G;1:50;20:25;22:15
CPH;HEL;319;1:30;8:55;11:25
CPH;LHR;319;2:5;20:0;21:5
CPH;MAD;320;3:15;15:55;19:10
CPO;ARI;318;1:45;13:57;15:42
CPO;IQQ;318;1:20;10:40;12:0
CPO;LSC;318;0:45;19:0;19:45
CPO;SCL;318;1:15;9:12;10:27
CPT;DUR;733;1:55;6:30;8:25
CPT;JNB;733;2:0;8:0;10:0
CPT;LHR;744;11:35;8:15;17:50
CQM;BCN;CR2;1:20;15:30;16:50
CQM;LPA;CR2;2:50;16:10;18:0
CRD;AEP;320;2:12;7:50;11:2
CRP;DFW;ER4;1:20;6:0;7:20
CSX;HKG;320;1:45;16:35;18:20
CTA;LGW;319;3:15;19:0;21:15
CTL;BNE;DH3;2:0;9:20;11:20
CTL;RMA;DH3;0:40;9:20;10:0
CTS;AOJ;M90;0:50;7:50;8:40
CTS;AXT;M90;1:0;10:40;11:40
CTS;FUK;777;2:35;14:50;17:25
CTS;GAJ;CRJ;1:10;13:25;14:35
CTS;HIJ;M90;2:10;14:55;17:5
CTS;HKG;330;5:35;17:20;21:55
